Sample,Sample Type,Lat,Lng,Elevation(masl),Thickness(cm),Density(g/cm3),Shielding,10Be-conc(at/g),10Be-unc(at/g),10Be-std,Sample Year,Published Age (yr),Published Unc (yr),Reference,Height (cm),Regions
NF-CRN-01,boulder,36.3534,-118.4073,2001,4,2.7,0.976,307200,7400,07KNSTD,2008,17400,400,"Amos CB, Kelson KI, Rood DH, Simpson DT, Rose RS, 2010. Late Quaternary slip rate on the Kern Canyon fault at Soda Spring, Tulare County, California. Lithosphere 2, 411-417.",NA,Sierra Nevada
NF-CRN-02,boulder,36.3533,-118.4073,2001,5,2.7,0.976,316500,5600,07KNSTD,2008,18100,300,"Amos CB, Kelson KI, Rood DH, Simpson DT, Rose RS, 2010. Late Quaternary slip rate on the Kern Canyon fault at Soda Spring, Tulare County, California. Lithosphere 2, 411-417.",NA,Sierra Nevada
NF-CRN-03,boulder,36.3532,-118.4073,2002,3,2.7,0.976,324900,9500,07KNSTD,2008,18300,500,"Amos CB, Kelson KI, Rood DH, Simpson DT, Rose RS, 2010. Late Quaternary slip rate on the Kern Canyon fault at Soda Spring, Tulare County, California. Lithosphere 2, 411-417.",NA,Sierra Nevada
NF-CRN-04,boulder,36.3526,-118.4071,1997,4,2.7,0.976,329500,6200,07KNSTD,2008,18700,400,"Amos CB, Kelson KI, Rood DH, Simpson DT, Rose RS, 2010. Late Quaternary slip rate on the Kern Canyon fault at Soda Spring, Tulare County, California. Lithosphere 2, 411-417.",NA,Sierra Nevada
NF-CRN-05,boulder,36.3526,-118.4069,1999,4,2.7,0.976,322000,6700,07KNSTD,2008,18300,400,"Amos CB, Kelson KI, Rood DH, Simpson DT, Rose RS, 2010. Late Quaternary slip rate on the Kern Canyon fault at Soda Spring, Tulare County, California. Lithosphere 2, 411-417.",NA,Sierra Nevada
NF-CRN-06,boulder,36.3527,-118.4069,1988,3,2.7,0.976,313400,7500,07KNSTD,2008,17800,400,"Amos CB, Kelson KI, Rood DH, Simpson DT, Rose RS, 2010. Late Quaternary slip rate on the Kern Canyon fault at Soda Spring, Tulare County, California. Lithosphere 2, 411-417.",NA,Sierra Nevada
CHLN-1,boulder,47.86,-120.02,630,2,2.65,1,62700,3300,07KNSTD,2015,9400,900,"Balbas AM, Barth AM, Clark PU, Clark J, Caffee M, O'Connor J, Baker VR, Konrad K, Bjornstad B, 2017. 10Be dating of late Pleistocene megafloods and Cordilleran ice sheet retreat in the northwestern United States. Geology 45, 583-586.",NA,NW Pacific
CHLN-2,boulder,47.86,-120.021,629,2,2.65,1,94200,3960,07KNSTD,2015,14100,1200,"Balbas AM, Barth AM, Clark PU, Clark J, Caffee M, O'Connor J, Baker VR, Konrad K, Bjornstad B, 2017. 10Be dating of late Pleistocene megafloods and Cordilleran ice sheet retreat in the northwestern United States. Geology 45, 583-586.",60,NW Pacific
CHLN-3,boulder,47.859,-120.021,633,2,2.65,1,99500,3230,07KNSTD,2015,14900,1200,"Balbas AM, Barth AM, Clark PU, Clark J, Caffee M, O'Connor J, Baker VR, Konrad K, Bjornstad B, 2017. 10Be dating of late Pleistocene megafloods and Cordilleran ice sheet retreat in the northwestern United States. Geology 45, 583-586.",100,NW Pacific
WIT-12,boulder,47.66,-119.613,636,2,2.65,1,103000,3530,07KNSTD,2015,15400,1300,"Balbas AM, Barth AM, Clark PU, Clark J, Caffee M, O'Connor J, Baker VR, Konrad K, Bjornstad B, 2017. 10Be dating of late Pleistocene megafloods and Cordilleran ice sheet retreat in the northwestern United States. Geology 45, 583-586.",140,NW Pacific
